Location,Name,ID,,Health,,Phys Def | Dmg Neg,,Strike Def | Dmg Neg,,Slash Def | Dmg Neg,,Pierce Def | Dmg Neg,,Magic Def | Dmg Neg,,Fire Def | Dmg Neg,,Ltng Def | Dmg Neg,,Holy Def | Dmg Neg,,,Poison Resist,Rot Resist,Bleed Resist,Frost Resist,Sleep Resist,Madness Resist,Death Resist,,Bleed Dmg Taken,Frost Dmg Taken,Sleep Dmg Taken,Madness Dmg Taken,,Poise,,Part 1 Dmg Mult,Part 2 Dmg Mult,Part 3 Dmg Mult,Part 4 Dmg Mult,Part 5 Dmg Mult,Part 6 Dmg Mult,Part 7 Dmg Mult,Part 8 Dmg Mult,"""Weak Parts"" Dmg Mult"
Consecrated Snowfield - Consecrated Snowfield Catacombs Entrance,Wandering Noble,43007052,,584,,120,-10,120,-10,120,-10,120,-10,120,-20,120,-20,120,-20,120,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - East of Ordina,Albinauric,34701552,,1698,,120,-10,120,10,120,-10,120,-10,120,0,120,20,120,-20,120,-40,,Immune,367,200,601,200,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - East of Ordina,Albinauric Frog (No Shield),34700452,,1698,,120,-10,120,10,120,-10,120,-10,120,0,120,20,120,-20,120,-40,,Immune,367,200,601,200,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - East of Ordina,Erdtree Guardian,36502052,,1010,,120,0,120,10,120,-10,120,0,120,0,120,-20,120,40,120,40,,601,367,267,200,200,Immune,Immune,,1,1,1,1,,55,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - East of Ordina,Stone Huge Teardrop Scarab,41925052,,1863,,120,10,120,10,120,35,120,35,120,40,120,40,120,40,120,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,80,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - East of Ordina,Stone Large Teardrop Scarab,41905052,,1464,,120,10,120,10,120,35,120,35,120,40,120,40,120,40,120,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - Far West Cliffside,Goat,60600052,,55,,100,-40,100,-40,100,-40,100,-40,100,-40,100,-100,100,-40,100,-40,,63,63,63,63,63,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - Far West Cliffside,Goat,60602052,,82,,100,-40,100,-40,100,-40,100,-40,100,-40,100,-100,100,-40,100,-40,,63,63,63,63,63,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - Far West Cliffside,Hawk,60010052,,27,,100,-40,100,-40,100,-40,100,-40,100,-40,100,-100,100,-40,100,-40,,63,63,63,63,63,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - Far West Cliffside,Runebear,46300152,,17771,,120,0,120,0,120,-10,120,0,120,0,120,-20,120,0,120,0,,367,367,601,601,200,Immune,Immune,,1,1,1,1,,80,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Hidden Path to the Haligtree, Southeast Foggy Area",Crystal Snail,41404052,,866,,120,-10,120,-40,120,0,120,0,120,40,120,0,120,0,120,0,,601,601,Immune,Immune,267,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Hidden Path to the Haligtree, Southeast Foggy Area",Latenna Dialogue,502280052,,1939,,100,0,100,0,100,0,100,0,100,0,100,0,100,0,100,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Hidden Path to the Haligtree, Southeast Foggy Area",Stone Teardrop Scarab,41915052,,1058,,120,10,120,10,120,35,120,35,120,40,120,40,120,40,120,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Hidden Path to the Haligtree, Southeast Foggy Area",Wandering Noble,43006152,,584,,120,-10,120,-10,120,-10,120,-10,120,-20,120,-20,120,-20,120,0,,150,150,200,200,200,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Hidden Path to the Haligtree, Southeast Foggy Area",Wandering Noble (Ghost),43009252,,584,,120,-10,120,-10,120,-10,120,-10,120,-20,120,-20,120,-20,120,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - North of Yelough Anix Ruins,Albinauric,34702552,,1698,,120,-10,120,10,120,-10,120,-10,120,0,120,20,120,-20,120,-40,,Immune,367,200,601,200,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - North of Yelough Anix Ruins,Deer,60100052,,55,,100,-40,100,-40,100,-40,100,-40,100,-40,100,-100,100,-40,100,-40,,63,63,63,63,63,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - North of Yelough Anix Ruins,Dragonfly,60800052,,17,,100,-40,100,-40,100,-10,100,-40,100,-40,100,-100,100,-40,100,-40,,84,84,63,20,63,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - North of Yelough Anix Ruins,Springhare,61000052,,27,,100,-40,100,-40,100,-40,100,-40,100,-40,100,-100,100,-40,100,-40,,63,63,63,63,63,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - North of Yelough Anix Ruins,Rotten Dog,41650052,,1113,,120,-10,120,-10,120,-40,120,-10,120,-20,120,0,120,-20,120,-20,,200,200,150,267,367,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - North of Yelough Anix Ruins,Sanguine Noble,543430052,,9560,,120,0,120,0,120,0,120,0,120,0,120,0,120,-25,120,0,,114,114,114,114,0,0,999,,1,1,1,1,,100,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - North of Yelough Anix Ruins,Small Living Mass,41700152,,1890,,120,80,120,80,120,80,120,80,120,40,120,-40,120,40,120,40,,601,601,267,267,Immune,Immune,Immune,,1,1,1,1,,120,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Northeast Foggy Area, Inner Consecrated Snowfield",Orb of Many Faces,37300052,,4076,,120,10,120,10,120,35,120,80,120,80,120,40,120,40,120,20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,80,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Northeast Foggy Area, Inner Consecrated Snowfield",Runebear,46300652,,17771,,120,0,120,0,120,-10,120,0,120,0,120,-20,120,0,120,0,,367,367,601,601,200,Immune,Immune,,1,1,1,1,,80,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Northeast Foggy Area, Inner Consecrated Snowfield",Wandering Noble,43004052,,584,,120,-10,120,-10,120,-10,120,-10,120,-20,120,-20,120,-20,120,0,,150,150,200,200,200,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Northeast Foggy Area, Inner Consecrated Snowfield",Wandering Noble,43004152,,584,,120,-10,120,-10,120,-10,120,-10,120,-20,120,-20,120,-20,120,0,,150,150,200,200,200,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Northeast Foggy Area, Inner Consecrated Snowfield",Wandering Noble,43006352,,584,,120,-10,120,-10,120,-10,120,-10,120,-20,120,-20,120,-20,120,0,,150,150,200,200,Immune,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Northwest Foggy Area, East of Yelough Anix Ruins",Ancestral Follower (Staff),33602352,,2276,,122,-10,122,0,122,-10,122,-10,122,0,122,0,122,0,122,0,,653,653,653,1406,653,Immune,Immune,,1,1,1,1,,40,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Northwest Foggy Area, East of Yelough Anix Ruins",Ancestral Follower Shaman,33700052,,3241,,122,-10,122,0,122,-10,122,-10,122,20,122,0,122,0,122,0,,653,653,653,1406,653,Immune,Immune,,1,1,1,1,,50,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Northwest Foggy Area, East of Yelough Anix Ruins",Cerulean Teardrop Scarab,41911052,,1058,,120,10,120,10,120,35,120,35,120,40,120,40,120,40,120,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Northwest Foggy Area, East of Yelough Anix Ruins",Dragonkin Soldier,46500352,,1870,,120,10,120,10,120,0,120,10,120,20,120,20,120,40,120,20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,120,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Northwest Foggy Area, East of Yelough Anix Ruins",Wisp,21500052,,1285,,120,35,120,35,120,35,120,35,120,40,120,40,120,40,120,40,,Immune,Immune,Immune,Immune,2382,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Northwest Foggy Area, East of Yelough Anix Ruins",Wisp,21500352,,1285,,120,35,120,35,120,35,120,35,120,40,120,40,120,40,120,40,,Immune,Immune,Immune,Immune,2382,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Northwest Foggy Area, East of Yelough Anix Ruins",Wisp,21500452,,1285,,120,35,120,35,120,35,120,35,120,40,120,40,120,40,120,40,,Immune,Immune,Immune,Immune,2382,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Northwest Foggy Area, East of Yelough Anix Ruins",Wisp,21500652,,1285,,120,35,120,35,120,35,120,35,120,40,120,40,120,40,120,40,,Immune,Immune,Immune,Immune,2382,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Ordina, Liturgical Town",Albinauric Archer,31701052,,3348,,120,0,120,10,120,0,120,0,120,20,120,0,120,0,120,-40,,Immune,267,367,601,267,Immune,Immune,,1,1,1,1,,50,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Ordina, Liturgical Town",Black Knife Assassin,21000052,,5025,,120,10,120,10,120,10,120,35,120,20,120,20,120,20,120,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,80,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Ordina, Liturgical Town",Black Knife Assassin,21009000,,731,,100,10,100,10,100,10,100,35,100,20,100,20,100,20,100,40,,Immune,Immune,Immune,154,Immune,Immune,Immune,,1,1,1,1,,80,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Ordina, Liturgical Town",Death Rite Bird [Boss],49801052,,17625,,122,10,122,-40,122,10,122,35,122,20,122,20,122,40,122,-40,,Immune,653,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,120,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Ordina, Liturgical Town","Grave Warden Duelist (Greataxe, Serpent Helm)",34000852,,8800,,120,0,120,0,120,-10,120,0,120,0,120,-20,120,0,120,0,,601,1292,200,267,267,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Ordina, Liturgical Town",Small Land Octopus,42300852,,790,,120,0,120,10,120,0,120,0,120,-20,120,-20,120,-40,120,-20,,200,200,200,47,150,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Ordina, Liturgical Town",White Wolf,40710052,,2811,,120,-10,120,-10,120,-40,120,-10,120,-20,120,-40,120,-20,120,-20,,200,200,200,367,200,Immune,Immune,,1,1,1,1,,50,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - South of Ordina,Albinauric Archer,31700052,,3348,,120,0,120,10,120,0,120,0,120,20,120,0,120,0,120,-40,,Immune,267,367,601,267,Immune,Immune,,1,1,1,1,,50,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - South of Ordina,"Anastasia, Tarnished-Eater",523530052,,9560,,120,0,120,0,120,0,120,0,120,0,120,0,120,-25,120,0,,114,114,114,114,1145,0,999,,1,1,1,1,,100,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - South of Ordina,Ash Teardrop Scarab,41912052,,1058,,120,10,120,10,120,35,120,35,120,40,120,40,120,40,120,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - South of Ordina,Crab (Clean),22750052,,192,,120,10,120,-40,120,10,120,10,120,0,120,0,120,0,120,-40,,Immune,200,267,150,150,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - South of Ordina,Direwolf,31800052,,5321,,120,0,120,0,120,-10,120,0,120,0,120,-20,120,0,120,0,,267,267,367,601,Immune,Immune,Immune,,1,1,1,1,,50,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - South of Ordina,Grey Wolf,40700052,,536,,120,-10,120,-10,120,-40,120,-10,120,-20,120,-40,120,-20,120,-20,,200,200,200,367,200,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - Southeast of Ordina,Albinauric,34703252,,1161,,120,-10,120,10,120,-10,120,-10,120,0,120,20,120,-20,120,-40,,Immune,367,200,601,200,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - Southeast of Ordina,Albinauric,34704352,,1698,,120,-10,120,10,120,-10,120,-10,120,0,120,20,120,-20,120,-40,,Immune,367,200,601,200,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - Southeast of Ordina,Albinauric,34715352,,3774,,120,-10,120,10,120,-10,120,-10,120,0,120,20,120,-20,120,-40,,Immune,367,200,601,200,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - Southeast of Ordina,Albinauric Frog,34700352,,1698,,120,-10,120,10,120,-10,120,-10,120,0,120,20,120,-20,120,-40,,Immune,367,200,601,200,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - Southeast of Ordina,Crimson Large Teardropdrop Scarab,41900052,,1464,,120,10,120,10,120,35,120,35,120,40,120,40,120,40,120,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - Southeast of Ordina,Dragonfly,60810052,,17,,100,-40,100,-40,100,-10,100,-40,100,-40,100,-100,100,-40,100,-40,,84,84,63,20,63,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - Southeast of Ordina,Giant Crab (Clean),22740052,,2454,,120,35,120,0,120,35,120,35,120,20,120,20,120,20,120,-40,,Immune,367,367,200,200,Immune,Immune,,1,1,1,1,,80,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - Southwest Foggy Area,Bear,60310052,,681,,100,-40,100,-40,100,-40,100,-40,100,-40,100,-100,100,-40,100,-40,,63,63,63,63,63,Immune,Immune,,1,1,1,1,,-1,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - Southwest Foggy Area,Crimson Teardrop Scarab,41910052,,1058,,120,10,120,10,120,35,120,35,120,40,120,40,120,40,120,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - Southwest Foggy Area,"Grave Warden Duelist (Battle Hammer, Serpent Helm)",34001852,,6600,,120,0,120,0,120,-10,120,0,120,0,120,-20,120,0,120,0,,601,1292,200,267,267,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - West of Ordina,Mausoleum Foot Soldier,43751052,,1010,,120,0,120,0,120,0,120,-10,120,0,120,0,120,-20,120,-20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - West of Ordina,Mausoleum Knight,43550052,,3960,,120,10,120,10,120,35,120,0,120,20,120,20,120,0,120,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - West of Ordina,Mausoleum Soldier,43150052,,1320,,120,0,120,0,120,10,120,-10,120,0,120,0,120,-20,120,-20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - West of Ordina,Mausoleum Soldier,43151052,,1320,,120,0,120,0,120,10,120,-10,120,0,120,0,120,-20,120,-20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - West of Ordina,Mausoleum Soldier,43152052,,1320,,120,0,120,0,120,10,120,-10,120,0,120,0,120,-20,120,-20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - West of Ordina,Mausoleum Soldier,43153052,,1320,,120,0,120,0,120,10,120,-10,120,0,120,0,120,-20,120,-20,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - West of Ordina,Wandering Noble,43002052,,584,,120,-10,120,-10,120,-10,120,-10,120,-20,120,-20,120,-20,120,0,,150,150,200,200,200,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield - West of Ordina,Wandering Noble (Ghost),43009352,,584,,120,-10,120,-10,120,-10,120,-10,120,-20,120,-20,120,-20,120,0,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Yelough Anix Ruins, Yelough Anix Tunnel Entrance","Commoner (Frenzied, Spear)",36601252,,721,,120,-10,120,-10,120,-10,120,-10,120,-20,120,-20,120,-20,120,0,,150,150,200,200,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Yelough Anix Ruins, Yelough Anix Tunnel Entrance","Commoner (Frenzied, Sword)",36600652,,721,,120,-10,120,-10,120,-10,120,-10,120,-20,120,-20,120,-20,120,0,,150,150,200,200,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Yelough Anix Ruins, Yelough Anix Tunnel Entrance","Commoner (Frenzied, Torch)",36602152,,721,,120,-10,120,-10,120,-10,120,-10,120,-20,120,-20,120,-20,120,0,,150,150,200,200,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Yelough Anix Ruins, Yelough Anix Tunnel Entrance",Giant Rat (Frenzied),40900352,,3822,,120,-10,120,-10,120,-40,120,-10,120,-20,120,-40,120,-20,120,-20,,367,367,200,267,Immune,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Yelough Anix Ruins, Yelough Anix Tunnel Entrance",Rat (Frenzied),40800352,,1113,,120,-10,120,-10,120,-40,120,-10,120,-20,120,-40,120,-20,120,-20,,367,367,200,267,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
"Consecrated Snowfield - Yelough Anix Ruins, Yelough Anix Tunnel Entrance",Troll Knight,46004152,,10869,,120,0,120,0,120,-10,120,0,120,0,120,0,120,0,120,0,,267,267,267,367,Immune,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,2
Consecrated Snowfield Catacombs,Burial Watchdog,42604652,,7232,,120,35,120,10,120,35,120,35,120,40,120,40,120,40,120,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,80,,1,1,1,1,1,1,1,1,1
Consecrated Snowfield Catacombs,Burial Watchdog,42605152,,7232,,120,35,120,10,120,35,120,35,120,40,120,40,120,40,120,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,80,,1,1,1,1,1,1,1,1,1
Consecrated Snowfield Catacombs,Cleanrot Knight (Sickle),38001052,,3004,,120,10,120,10,120,35,120,0,120,20,120,-20,120,0,120,40,,601,601,367,367,267,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield Catacombs,Cleanrot Knight (Spear),38000052,,3004,,120,10,120,10,120,35,120,0,120,20,120,-20,120,0,120,40,,601,601,367,367,267,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield Catacombs,Imp (Cat),30800052,,1182,,120,10,120,0,120,35,120,35,120,20,120,40,120,40,120,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield Catacombs,Imp (Wolf),30806052,,1182,,120,10,120,0,120,35,120,35,120,20,120,40,120,40,120,40,,Immune,Immune,Immune,Immune,Immune,Immune,Immune,,1,1,1,1,,35,,1,1,1,1,1,1,1,1,1.5
Consecrated Snowfield Catacombs,Putrid Grave Warden Duelist [Boss],34000952,,8800,,120,0,120,0,120,-10,120,0,120,0,120,-20,120,0,120,0,,601,1292,200,267,267,Immune,Immune,,0.7,0.7,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,???,533260072,,18624,,120,0,120,0,120,0,120,0,120,0,120,0,120,-25,120,0,,114,114,114,114,1143,0,999,,1,1,1,1,,100,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Ancient Dragon,45100072,,12312,,118,35,118,35,118,35,118,10,118,40,118,40,118,80,118,40,,565,565,565,565,Immune,Immune,Immune,,1,1,1,1,,120,,2,1,1,1,1,1,1,1,2
Crumbling Farum Azula,Ancient Dragon,45100172,,12312,,118,35,118,35,118,35,118,10,118,40,118,40,118,80,118,40,,565,565,565,565,Immune,Immune,Immune,,1,1,1,1,,120,,2,1,1,1,1,1,1,1,2
Crumbling Farum Azula,Ancient Dragon,45100272,,12312,,118,35,118,35,118,35,118,10,118,40,118,40,118,80,118,40,,565,565,565,565,Immune,Immune,Immune,,1,1,1,1,,120,,2,1,1,1,1,1,1,1,2
Crumbling Farum Azula,Ancient Dragon,45100572,,12312,,118,35,118,35,118,35,118,10,118,40,118,40,118,80,118,40,,565,565,565,565,Immune,Immune,Immune,,1,1,1,1,,120,,2,1,1,1,1,1,1,1,2
Crumbling Farum Azula,Ancient Dragon,45101272,,20529,,118,35,118,35,118,35,118,10,118,40,118,40,118,80,118,40,,565,565,565,565,Immune,Immune,Immune,,1,1,1,1,,120,,2,1,1,1,1,1,1,1,2
Crumbling Farum Azula,Ancient Dragon,45102272,,20529,,118,35,118,35,118,35,118,10,118,40,118,40,118,80,118,40,,565,565,565,565,Immune,Immune,Immune,,1,1,1,1,,120,,2,1,1,1,1,1,1,1,2
Crumbling Farum Azula,Azula Beastman,39700072,,1640,,118,0,118,0,118,-10,118,0,118,0,118,-20,118,20,118,0,,251,251,345,345,188,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Azula Beastman,39700172,,1640,,118,0,118,0,118,-10,118,0,118,0,118,-20,118,20,118,0,,251,251,345,345,188,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Azula Beastman,39700272,,1640,,118,0,118,0,118,-10,118,0,118,0,118,-20,118,20,118,0,,251,251,345,345,188,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Azula Beastman,39700372,,1640,,118,0,118,0,118,-10,118,0,118,0,118,-20,118,20,118,0,,251,251,345,345,188,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Azula Beastman,39700472,,1640,,118,0,118,0,118,-10,118,0,118,0,118,-20,118,20,118,0,,251,251,345,345,188,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Azula Beastman,39703072,,1640,,118,0,118,0,118,-10,118,0,118,0,118,-20,118,20,118,0,,251,251,345,345,188,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Azula Beastman,39703172,,1640,,118,0,118,0,118,-10,118,0,118,0,118,-20,118,20,118,0,,251,251,345,345,188,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Azula Beastman (Cleaver),39701072,,4075,,118,0,118,0,118,-10,118,0,118,0,118,-20,118,20,118,0,,251,251,345,345,188,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Azula Beastman (Cleaver),39701172,,4075,,118,0,118,0,118,-10,118,0,118,0,118,-20,118,20,118,0,,251,251,345,345,188,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Azula Beastman (Cleaver),39701272,,1640,,118,0,118,0,118,-10,118,0,118,0,118,-20,118,20,118,0,,251,251,345,345,188,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Azula Beastman (Throwing Knife),39702072,,1640,,118,0,118,0,118,-10,118,0,118,0,118,-20,118,20,118,0,,251,251,345,345,188,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Azula Beastman (Throwing Knife),39702172,,1640,,118,0,118,0,118,-10,118,0,118,0,118,-20,118,20,118,0,,251,251,345,345,188,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Azula Beastman (Throwing Knife),39702272,,1640,,118,0,118,0,118,-10,118,0,118,0,118,-20,118,20,118,0,,251,251,345,345,188,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Azula Beastman (Throwing Knife),39702372,,1640,,118,0,118,0,118,-10,118,0,118,0,118,-20,118,20,118,0,,251,251,345,345,188,Immune,Immune,,1,1,1,1,,30,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Banished Knight (Hood),30100172,,2940,,118,10,118,10,118,35,118,0,118,20,118,20,118,-40,118,20,,251,251,345,345,251,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Banished Knight (Hood),30101172,,2940,,118,10,118,10,118,35,118,0,118,20,118,20,118,-40,118,20,,251,251,345,345,251,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
Crumbling Farum Azula,Banished Knight (Hood),30102172,,2940,,118,10,118,10,118,35,118,0,118,20,118,20,118,-40,118,20,,251,251,345,345,251,Immune,Immune,,1,1,1,1,,65,,1,1,1,1,1,1,1,1,1.5
